nombre_planta,hortaliza,imagen_url,tipo_planta,freq_riego,clima,h_luzsolar,caracteristicas
Tomatera,true,https://example.com/tomatera.jpg,EXTERIOR,2,Mediterráneo,8,"Produce tomates rojos y jugosos fácilmente"
Lechuga,true,https://example.com/lechuga.jpg,EXTERIOR,1,Continental,5,"Crecimiento rápido y hojas muy tiernas"
Albahaca,false,https://example.com/albahaca.jpg,TODAS,2,Mediterráneo,6,"Aroma intenso ideal para cocina fresca"
Cactus,false,https://example.com/cactus.jpg,INTERIOR,14,Árido,10,"Muy resistente y requiere poca agua"
Lavanda,false,https://example.com/lavanda.jpg,EXTERIOR,4,Mediterráneo,9,"Flores violetas con aroma relajante"
Pimiento,true,https://example.com/pimiento.jpg,EXTERIOR,3,Mediterráneo,8,"Produce frutos verdes y rojos dulces"
Romero,false,https://example.com/romero.jpg,TODAS,5,Mediterráneo,7,"Hierba aromática resistente al calor"
Zanahoria,true,https://example.com/zanahoria.jpg,EXTERIOR,3,Continental,6,"Raíces dulces ideales para ensaladas"
Helecho,false,https://example.com/helecho.jpg,INTERIOR,2,Tropical,3,"Hojas verdes abundantes y decorativas"
Menta,false,https://example.com/menta.jpg,TODAS,2,Húmedo,4,"Crecimiento veloz y aroma refrescante"
Pepino,true,https://example.com/pepino.jpg,EXTERIOR,2,Mediterráneo,7,"Frutos frescos ideales para verano"
Orquídea,false,https://example.com/orquidea.jpg,INTERIOR,5,Tropical,4,"Flores elegantes de larga duración"
Espinaca,true,https://example.com/espinaca.jpg,EXTERIOR,2,Continental,5,"Hojas verdes ricas en nutrientes"
Suculenta,false,https://example.com/suculenta.jpg,INTERIOR,10,Árido,8,"Acumula agua en hojas carnosas"
Perejil,false,https://example.com/perejil.jpg,TODAS,3,Mediterráneo,5,"Hierba culinaria muy versátil y fresca"
Berenjena,true,https://example.com/berenjena.jpg,EXTERIOR,3,Mediterráneo,8,"Frutos morados ideales para cocinar"
Bambú,false,https://example.com/bambu.jpg,INTERIOR,4,Tropical,4,"Planta decorativa de rápido crecimiento"
Calabacín,true,https://example.com/calabacin.jpg,EXTERIOR,2,Mediterráneo,7,"Produce frutos verdes muy abundantes"
Jazmín,false,https://example.com/jazmin.jpg,TODAS,3,Mediterráneo,6,"Flores blancas con aroma intenso"
Cebolla,true,https://example.com/cebolla.jpg,EXTERIOR,4,Continental,6,"Bulbos resistentes usados en cocina"